Layer,NoiseStd,Percent,NumSeeds,Phonemic_minus_Neologism_mean,Phonemic_minus_Neologism_t,Phonemic_minus_Neologism_tfce,Phonemic_minus_Neologism_n_valid,Semantic_minus_Neologism_mean,Semantic_minus_Neologism_t,Semantic_minus_Neologism_tfce,Semantic_minus_Neologism_n_valid
1.0,1.3,0.6,40,-0.03370253164556962,-1.129015252430435,-2.6734216299374594,40,-0.07088607594936709,-2.1903959852749044,-107.79135708131905,40
1.0,1.3,0.7,40,-0.0034810126582278484,-0.15427961023661912,-0.05153189311428253,40,-0.048417721518987336,-1.9086384546491824,-105.14678779455284,40
1.0,1.3,0.8,40,-0.0031645569620253173,-0.12653523921208662,-0.031566610779424804,40,-0.05253164556962024,-2.146797187405795,-123.08049399986962,40
1.0,1.3,0.9,40,0.009810126582278481,1.2475982990705312,31.154524984709987,40,-0.013765822784810125,-1.9866752716863165,-118.10253399058988,40
1.0,1.3,1.0,40,-0.013291139240506325,-0.4688647783580004,-0.9385096186607704,30,-0.045569620253164564,-1.6220014702919456,-65.46918160827899,30
1.0,1.4,0.0,40,0.0,0.0,0.0,10,0.0,0.0,0.0,10
1.0,1.4,0.1,40,0.006170886075949367,1.6317328761725034,67.3827805434101,40,0.00379746835443038,2.351076148302754,181.4391322775817,40
1.0,1.4,0.2,40,0.0014240506329113924,2.6825174318556764,252.1437533670954,40,0.003006329113924051,4.693917750639146,1365.80551792693,40
1.0,1.4,0.3,40,-0.007911392405063292,-0.8206311945066619,-0.19187280156665623,40,-0.02278481012658228,-1.4243380433324788,-11.279807379470688,40
1.0,1.4,0.4,40,0.001582278481012659,0.09520212239630657,0.016792865876239994,40,-0.015506329113924055,-0.7784620384092438,-7.569652553487335,40
1.0,1.4,0.5,40,-0.017721518987341776,-0.5879979193956586,-1.1044838454677304,40,-0.062183544303797446,-1.9043485679280832,-104.46326870441138,40
1.0,1.4,0.6,40,-0.017721518987341776,-0.7630350979760976,-1.4833235784191539,40,-0.048734177215189876,-1.9210633905631012,-105.26778825239695,40
1.0,1.4,0.7,40,0.004746835443037974,0.2922850668237706,0.47308313128312307,40,-0.029430379746835444,-1.489725719952304,-51.04884825287266,40
1.0,1.4,0.8,40,-0.021202531645569615,-0.8470370436542878,-6.838655621221191,40,-0.05917721518987342,-2.120458755862961,-122.96015945920516,40
1.0,1.4,0.9,40,0.0017405063291139257,0.16795938543338385,0.08306012820181065,40,-0.018037974683544303,-1.47109256577917,-49.2023707368803,40
1.0,1.4,1.0,40,0.00611086861632475,0.5631381833636949,3.0521688810402523,29,-0.015058926233085988,-1.702018344074341,-75.35700079051608,29
1.0,1.5,0.0,40,0.0,0.0,0.0,10,0.0,0.0,0.0,10
1.0,1.5,0.1,40,0.006962025316455696,2.017823941744969,123.72134758977461,40,0.0028481012658227852,2.516080547726025,221.38133459173923,40
1.0,1.5,0.2,40,0.0033227848101265826,2.59248621205046,251.5155789244199,40,0.0033227848101265835,4.234891565240258,1013.7411295222026,40
1.0,1.5,0.3,40,0.0023734177215189887,0.19372576208046077,0.12650192186942905,40,-0.01313291139240506,-0.761638857413969,-7.104913010535702,40
1.0,1.5,0.4,40,0.024841772151898735,4.955192449459694,935.917980042997,40,0.0017405063291139236,1.1204405700569438,20.376422500629044,40
1.0,1.5,0.5,40,-0.0295886075949367,-1.0456169310893961,-1.6533883011411787,40,-0.0587025316455696,-2.02483720489234,-104.93023490319013,40
1.0,1.5,0.6,40,0.00458860759493671,0.25944269906807027,0.3413807631753953,40,-0.024208860759493675,-1.2109780375616794,-27.773262357754625,40
1.0,1.5,0.7,40,-0.02563291139240506,-1.3517389310298238,-10.933685033874395,40,-0.057278481012658235,-2.666181544176071,-276.6334366352329,40
